Brand,Model Name,Model Image,Technology,2G bands,,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,_1,Quad,Features,Video,Dual,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,128GB 8GB RAM,256GB 8GB RAM,Single,Triple,Build,Penta,_1_1,Infrared port,256GB 12GB RAM,Performance,Display,Camera,Loudspeaker_1,Battery life,512GB 8GB RAM,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,128GB 4GB RAM,Single_1,4GB 32MB RAM,128GB 6GB RAM,Dual_1,64GB 3GB RAM,32GB 2GB RAM,SAR EU,4GB,Five,64GB 4GB RAM,256GB 6GB RAM,32GB 3GB RAM,Protection,Audio quality,16GB 2GB RAM,Stand-by,32GB 4GB RAM,Talk time,Music play,SAR,Keyboard,Browser
b'huawei',b'Huawei nova 8 Pro 5G',b'https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-8-pro-5g.jpg',b'GSM / CDMA / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 6, 8, 9, 18, 19, 26, 34, 38, 39, 40, 41'","b'1, 3, 28, 38, 41, 77, 78, 79, 80, 83, 84 SA/NSA'","b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'","b'2020, December 23'","b'Available. Released 2021, January 08'",b'163.3 x 74.1 x 7.9 mm (6.43 x 2.92 x 0.31 in)',b'184 g (6.49 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'OLED, 1B colors, HDR10, 120Hz'","b'6.72 inches, 110.9 cm2 (~91.7% screen-to-body ratio)'","b'1236 x 2676 pixels, 19.5:9 ratio (~439 ppi density)'","b'Android 10, EMUI 11, no Google Play Services'",b'Kirin 985 5G (7 nm)',b'Octa-core (1x2.58 GHz Cortex-A76 & 3x2.40 GHz Cortex-A76 & 4x1.84 GHz Cortex-A55)',b'Mali-G77 (8-core)',b'No',"b'128GB 8GB RAM, 256GB 8GB RAM'",b'UFS',"b'64 MP, f/1.8, 26mm (wide), PDAF 8 MP, f/2.4, 120\xcb\x9a, 17mm (ultrawide) 2 MP, f/2.4, (depth) 2 MP, f/2.4, (macro)'","b'LED flash, panorama, HDR'","b'4K, 1080p, 720p@960fps, gyro-EIS'","b'16 MP, f/2.0, (wide) 32 MP, f/2.4, 100\xcb\x9a (ultrawide)'",b'HDR',b'4K',b'Yes',b'No',"b'Wi-Fi 802.11 a/b/g/n/a/6, dual-band, Wi-Fi Direct, hotspot'","b'5.2, A2DP, LE'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS, NavIC'",b'Yes',b'No',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 4000 mAh, non-removable'","b'Fast charging 66W, 60% in 15 min, 100% in 35 min Reverse charging 5W'","b'Black, Blue, Green, White'",b'BRQ-AN00',b'$\xe2\x80\x89799.99',b'$\xe2\x80\x89799.99',b'$\xe2\x80\x89869.99',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'huawei',b'Huawei nova 8 5G',b'https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-8-5g.jpg',b'GSM / CDMA / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 6, 8, 9, 18, 19, 26, 34, 38, 39, 40, 41'","b'1, 3, 28, 38, 41, 77, 78, 80, 83, 84 SA/NSA'","b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'","b'2020, December 23'","b'Available. Released 2021, January 05'",b'160.1 x 74.1 x 7.6 mm (6.30 x 2.92 x 0.30 in)',b'169 g (5.96 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'OLED, 1B colors, HDR10, 90Hz'","b'6.57 inches, 106.0 cm2 (~89.3% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~392 ppi density)'","b'Android 10, EMUI 11, no Google Play Services'",b'Kirin 985 5G (7 nm)',b'Octa-core (1x2.58 GHz Cortex-A76 & 3x2.40 GHz Cortex-A76 & 4x1.84 GHz Cortex-A55)',b'Mali-G77 (8-core)',b'No',"b'128GB 8GB RAM, 256GB 8GB RAM'",b'UFS',"b'64 MP, f/1.9, 26mm (wide), PDAF 8 MP, f/2.4, 120\xcb\x9a, 17mm (ultrawide) 2 MP, f/2.4, (depth) 2 MP, f/2.4, (macro)'","b'LED flash, panorama, HDR'","b'4K, 1080p, 720p@960fps, gyro-EIS'",,b'HDR',b'4K',b'Yes',b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS, GALILEO, QZSS'",b'Yes',b'No',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 3800 mAh, non-removable'","b'Fast charging 66W, 60% in 15 min, 100% in 35 min Reverse charging 5W'","b'Black, Blue, Green, White'",b'ANG-AN00',b'About 410 EUR',,,"b'32 MP, f/2.0, 26mm (wide)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'huawei',b'Huawei Enjoy 20 SE',b'https://fdn2.gsmarena.com/vv/bigpic/huawei-enjoy-20-se.jpg',b'GSM / CDMA / HSPA / EVDO / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800',b'HSDPA 850 / 900 / 2100',"b'1, 3, 5, 8, 34, 38, 39, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2020, December 23'","b'Available. Released 2021, January 19'",b'165.7 x 76.9 x 9.3 mm (6.52 x 3.03 x 0.37 in)',b'206 g (7.27 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.67 inches, 107.4 cm2 (~84.3% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~395 ppi density)'","b'Android 10, EMUI 10.1, no Google Play Services'",b'Kirin 710A (14 nm)',b'Octa-core (4x2.0 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53)',b'Mali-G51 MP4',b'microSDXC (uses shared SIM slot)',"b'128GB 4GB RAM, 128GB 8GB RAM'",b'CDMA2000 1xEV-DO',,"b'LED flash, HDR, panorama'",b'1080p@30/60fps',,b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'No',b'Unspecified',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, proximity, compass'","b'Li-Po 5000 mAh, non-removable'","b'Fast charging 22.5W, 46% in 30 min (advertised)'","b'Crush Green, Blush Gold, Midnight Black'",b'PPA-AL20',b'About 160 EUR',,,"b'8 MP, f/2.0, (wide)'","b'13 MP, f/1.8, 26mm (wide), PDAF 8 MP, f/2.4, 120\xcb\x9a (ultrawide), 1/4.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (macro)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'huawei',b'Huawei nova 8 SE',b'https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-8-se.jpg',b'GSM / CDMA / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800 & TD-SCDMA',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 8, 18, 19, 26, 34, 38, 39, 40, 41'","b'1, 28, 41, 77, 78 SA/NSA'","b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'","b'2020, November 06'","b'Available. Released 2020, November 11'",b'161.1 x 74.8 x 7.5 mm (6.34 x 2.94 x 0.30 in)',b'178 g (6.28 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'OLED, HDR10'","b'6.53 inches, 102.9 cm2 (~85.4% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~403 ppi density)'","b'Android 10, EMUI 10.1, no Google Play Services'",b'MediaTek MT6853 Dimensity 720 5G (7 nm) - standard modelMediaTek Dimensity 800U 5G (7 nm) - premium model',b'Octa-core (2x2.0 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55) - standard modelOcta-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55) - premium model',b'Mali-G57 MC3',b'No',b'128GB 8GB RAM',,"b'64 MP, f/1.9, 26mm (wide), PDAF 8 MP, f/2.4, 120\xcb\x9a, 17mm (ultrawide) 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'","b'LED flash, Panorama, HDR'","b'4K@30fps, 1080p@30fps'",,b'HDR',b'1080p@30fps',b'Yes',b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS, QZSS'",b'No',b'No',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 3800 mAh, non-removable'","b'Fast charging 66W, 60% in 15 min, 100% in 35 min (advertised)'","b'Black, Deep Blue, Blue, Silver'",b'JSC-AN00',b'$\xe2\x80\x89469.99',b'$\xe2\x80\x89469.99',,"b'16 MP, f/2.0, (wide)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'huawei',b'Huawei Mate 40 RS Porsche Design',b'https://fdn2.gsmarena.com/vv/bigpic/huawei-mate40-rs.jpg',b'GSM / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'IP68 dust/water resistant',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 17, 18, 19, 20, 26, 34, 38, 39, 40, 41'","b'1, 3, 28, 38, 40, 41, 77, 78, 79, 80, 84 SA/NSA/Sub6'","b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'","b'2020, October 22'","b'Available. Released 2020, November 04'",b'162.9 x 75.5 x 10.1 mm (6.41 x 2.97 x 0.40 in)',b'234 g (8.25 oz)',"b'Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'OLED, HDR10, 90Hz'","b'6.76 inches, 115.7 cm2 (~94.1% screen-to-body ratio)'","b'1344 x 2772 pixels, 18.5:9 ratio (~456 ppi density)'","b'Android 10, EMUI 11, no Google Play Services'",b'Kirin 9000 5G (5 nm)',b'Octa-core (1x3.13 GHz Cortex-A77 & 3x2.54 GHz Cortex-A77 & 4x2.05 GHz Cortex-A55)',b'Mali-G78 MP24',"b'NM (Nano Memory), up to 256GB (uses shared SIM slot)'","b'256GB 12GB RAM, 512GB 12GB RAM'",b'SFS 1.0',,"b'Leica optics, LED flash, panorama, HDR'","b'4K@30/60fps, 1080p@30/60/120/240/480fps, 720p@960fps, 720p@3840fps, HDR, gyro-EIS'","b'13 MP, f/2.4, 18mm (ultrawide) TOF 3D, (depth/biometrics sensor)'","b'HDR, panorama'","b'4K@30/60fps, 1080p@30/60/240fps'","b'Yes, with stereo speakers'",b'No',"b'Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot'","b'5.2, A2DP, LE'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS, NavIC'",b'Yes',b'No',"b'USB Type-C 3.1, USB On-The-Go'","b'Face ID, fingerprint (under display, optical), accelerometer, gyro, proximity, barometer, compass, infrared thermometer, color spectrum'","b'Li-Po 4400 mAh, non-removable'",b'Fast charging 66W Fast wireless charging 50W Reverse wireless charging 5W',"b'Ceramic White, Ceramic Black, Collector Edition'",b'NOP-AN00',b'About 2300 EUR',,,,,"b'Glass front, ceramic back, aluminum frame'","b'50 MP, f/1.9, 23mm (wide), 1/1.28"", 1.22\xc2\xb5m, omnidirectional PDAF, Laser AF, OIS 12 MP, f/2.4, (telephoto), PDAF, OIS, 3x optical zoom 8 MP, f/4.4, 240mm (periscope telephoto), PDAF, OIS, 10x optical zoom 20 MP, f/1.8, 18mm (ultrawide), PDAF TOF 3D, (depth)'",b'32-bit/384kHz audio',b'Yes',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'huawei',b'Huawei Mate 40 Pro+',b'https://fdn2.gsmarena.com/vv/bigpic/huawei-mate40-pro-plus.jpg',b'GSM / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'IP68 dust/water resistant',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 17, 18, 19, 20, 26, 34, 38, 39, 40, 41'","b'1, 3, 28, 38, 40, 41, 77, 78, 79, 80, 84 SA/NSA/Sub6'","b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'","b'2020, October 22'","b'Available. Released 2020, November 01'",b'162.9 x 75.5 x 8.8 mm (6.41 x 2.97 x 0.35 in)',b'230 g (8.11 oz)',"b'Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'OLED, HDR10, 90Hz'","b'6.76 inches, 115.7 cm2 (~94.1% screen-to-body ratio)'","b'1344 x 2772 pixels, 18.5:9 ratio (~456 ppi density)'","b'Android 10, EMUI 11, no Google Play Services'",b'Kirin 9000 5G (5 nm)',b'Octa-core (1x3.13 GHz Cortex-A77 & 3x2.54 GHz Cortex-A77 & 4x2.05 GHz Cortex-A55)',b'Mali-G78 MP24',"b'NM (Nano Memory), up to 256GB (uses shared SIM slot)'",b'256GB 12GB RAM',b'SFS 1.0',,"b'Leica optics, LED flash, panorama, HDR'","b'4K@30/60fps, 1080p@30/60/120/240/480fps, 720p@960fps, 720p@3840fps, HDR, gyro-EIS'","b'13 MP, f/2.4, 18mm (ultrawide) TOF 3D, (depth/biometrics sensor)'","b'HDR, panorama'","b'4K@30/60fps, 1080p@30/60/240fps'","b'Yes, with stereo speakers'",b'No',"b'Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot'","b'5.2, A2DP, LE'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS, NavIC'",b'Yes',b'No',"b'USB Type-C 3.1, USB On-The-Go'","b'Face ID, fingerprint (under display, optical), accelerometer, gyro, proximity, barometer, compass, color spectrum'","b'Li-Po 4400 mAh, non-removable'",b'Fast charging 66W Fast wireless charging 50W Reverse wireless charging 5W',"b'Ceramic White, Ceramic Black'",b'NOP-AN00',"b'$\xe2\x80\x891,599.99 / \xc2\xa3\xe2\x80\x894,239.00'",,,,,"b'Glass front, ceramic back, aluminum frame'","b'50 MP, f/1.9, 23mm (wide), 1/1.28"", 1.22\xc2\xb5m, omnidirectional PDAF, Laser AF, OIS 12 MP, f/2.4, (telephoto), PDAF, OIS, 3x optical zoom 8 MP, f/4.4, 240mm (periscope telephoto), PDAF, OIS, 10x optical zoom 20 MP, f/2.4, 14mm (ultrawide), PDAF TOF 3D, (depth)'",b'32-bit/384kHz audio',b'Yes',"b'\xc2\xa3\xe2\x80\x894,239.00'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'huawei',b'Huawei Mate 40 Pro',b'https://fdn2.gsmarena.com/vv/bigpic/huawei-mate40-pro.jpg',b'GSM / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'IP68 dust/water resistant',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 17, 18, 19, 20, 26, 28, 32, 34, 38, 39, 40, 41, 42'","b'1, 3, 5, 7, 8, 28, 38, 40, 41, 77, 78, 79, 80, 84 SA/NSA/Sub6'","b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'","b'2020, October 22'","b'Available. Released 2020, November 01'",b'162.9 x 75.5 x 9.1 mm (Glass) / 9.5mm (Leather)',b'212 g (7.48 oz)',"b'Single SIM (Nano-SIM and/or eSIM), Hybrid Dual SIM (Nano-SIM, dual stand-by), Dual SIM (one Nano-SIM, one eSIM, dual stand-by)'","b'OLED, HDR10, 90Hz'","b'6.76 inches, 115.7 cm2 (~94.1% screen-to-body ratio)'","b'1344 x 2772 pixels, 18.5:9 ratio (~456 ppi density)'","b'Android 10, EMUI 11, no Google Play Services'",b'Kirin 9000 5G (5 nm)',b'Octa-core (1x3.13 GHz Cortex-A77 & 3x2.54 GHz Cortex-A77 & 4x2.05 GHz Cortex-A55)',b'Mali-G78 MP24',"b'NM (Nano Memory), up to 256GB (uses shared SIM slot)'","b'256GB 8GB RAM, 512GB 8GB RAM'",b'UFS 3.1',,"b'Leica optics, LED flash, panorama, HDR'","b'4K@30/60fps, 1080p@30/60/120/240/480fps, 720p@960fps, 720p@3840fps, HDR, gyro-EIS'","b'13 MP, f/2.4, 18mm (ultrawide) TOF 3D, (depth/biometrics sensor)'","b'HDR, panorama'","b'4K@30/60fps, 1080p@30/60/240fps'","b'Yes, with stereo speakers'",b'No',"b'Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot'","b'5.2, A2DP, LE'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS, NavIC'",b'Yes',b'No',"b'USB Type-C 3.1, USB On-The-Go'","b'Face ID, fingerprint (under display, optical), accelerometer, gyro, proximity, barometer, compass, color spectrum'","b'Li-Po 4400 mAh, non-removable'",b'Fast charging 66W Fast wireless charging 50W Reverse wireless charging 5W',"b'Mystic Silver, White, Black, Green, Yellow'",b'NOH-NX9',"b'\xe2\x82\xac\xe2\x80\x891,031.83 / $\xe2\x80\x891,270.00 / \xc2\xa3\xe2\x80\x89997.00'",,"b'\xe2\x82\xac\xe2\x80\x891,031.83'",,"b'50 MP, f/1.9, 23mm (wide), 1/1.28"", 1.22\xc2\xb5m, omnidirectional PDAF, Laser AF 12 MP, f/3.4, 125mm (periscope telephoto), PDAF, OIS, 5x optical zoom 20 MP, f/1.8, 18mm (ultrawide), PDAF'","b'Glass front, glass back or eco leather back, aluminum frame'",,b'32-bit/384kHz audio',b'Yes',,b'AnTuTu: 686835 (v8) GeekBench: 3704 (v5.1) GFXBench: 43fps (ES 3.1 onscreen)',b'Contrast ratio: Infinite (nominal)',b'Photo / Video',b'-24.9 LUFS (Very good)',b'Endurance rating 97h',"b'$\xe2\x80\x891,599.99'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'huawei',b'Huawei Mate 40',b'https://fdn2.gsmarena.com/vv/bigpic/huawei-mate-40.jpg',b'GSM / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'IP53 dust and splash protection',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 17, 18, 19, 20, 26, 34, 38, 39, 40, 41'","b'1, 3, 28, 38, 40, 41, 77, 78, 79, 80, 84 SA/NSA/Sub6'","b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'","b'2020, October 22'","b'Available. Released 2020, December 21'",b'158.6 x 72.5 x 8.8 mm (Glass) / 9.2mm (Leather)',b'188 g (Glass) / 184 g (Leather) (6.49 oz)',"b'Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'OLED, HDR10, 90Hz'","b'6.5 inches, 102.7 cm2 (~89.3% screen-to-body ratio)'",b'1080 x 2376 pixels (~402 ppi density)',"b'Android 10, EMUI 11, no Google Play Services'",b'Kirin 9000E 5G (5 nm)',b'Octa-core (1x3.13 GHz Cortex-A77 & 3x2.54 GHz Cortex-A77 & 4x2.05 GHz Cortex-A55)',b'Mali-G78 MP22',"b'NM (Nano Memory), up to 256GB (uses shared SIM slot)'","b'128GB 8GB RAM, 256GB 8GB RAM'",b'UFS 3.1',,"b'Leica optics, LED flash, panorama, HDR'","b'4K@30/60fps, 1080p@30/60/120/240fps, 1080p@960fps, gyro-EIS'",,"b'HDR, panorama'","b'4K@30/60fps, 1080p@30/60/240fps'",b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot'","b'5.2, A2DP, LE'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS, NavIC'",b'Yes',b'No',"b'USB Type-C 3.1, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum'","b'Li-Po 4200 mAh, non-removable'",b'Fast charging 40W Fast wireless charging 40W Reverse charging 5W',"b'Mystic Silver, White, Black, Green, Yellow'",b'OCE-AN10',"b'$\xe2\x80\x891,089.99'","b'$\xe2\x80\x891,089.99'","b'$\xe2\x80\x891,199.99'","b'13 MP, f/2.4, 18mm (ultrawide)'","b'50 MP, f/1.9, 23mm (wide), 1/1.28"", 1.22\xc2\xb5m, omnidirectional PDAF, Laser AF 8 MP, f/2.4, 85mm (telephoto), PDAF, OIS, 3x optical zoom 16 MP, f/2.2, 17mm (ultrawide)'","b'Glass front, glass back or eco leather back, aluminum frame'",,b'32-bit/384kHz audio',b'Yes',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'huawei',b'Huawei Watch GT 2 Porsche Design',b'https://fdn2.gsmarena.com/vv/bigpic/huawei-gt2-porshe1.jpg',b'No cellular connectivity',b'N/A',b'50m water resistant',b'N/A',b'N/A',,b'No',"b'2020, October 22'","b'Available. Released 2020, November 04'",b'46.7 x 46.7 x 11.4 mm (1.84 x 1.84 x 0.45 in)',b'52 g (1.83 oz)',b'No',b'AMOLED',"b'1.39 inches, 12.5 cm2 (~57.4% screen-to-body ratio)'","b'454 x 454 pixels, 1:1 ratio (~326 ppi density)'",,,,,b'No',b'4GB 32MB RAM',b'eMMC',,,,,,,b'Yes',b'No',b'No',"b'5.1, LE, EDR'",b'Yes',,b'No',b'No',"b'Accelerometer, gyro, heart rate, barometer, compass'","b'Li-Ion 455 mAh, non-removable'",b'Wireless charging',b'Titanium Gold',b'VID-B19',b'About 700 EUR',,,,,"b'Glass front (Sapphire crystal), ceramic back, titanium frame'",,b'No',,,,,,,,,b'No',b'No',b'No',b'No',"b'Email, IM'",b'No',b'No',,,,,,,,,,,,,,,,,,,,,,,
b'huawei',b'Huawei Mate 30E Pro 5G',b'https://fdn2.gsmarena.com/vv/bigpic/huawei-mate30-pro-5g.jpg',b'GSM / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'IP68 dust/water resistant (up to 2m for 30 mins)',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41'","b'1, 3, 28, 41, 77, 78, 79 NSA/Sub6'","b'HSPA 42.2/5.76 Mbps, LTE-A, 5G (2+ Gbps DL)'","b'2020, October 22'","b'Available. Released 2020, November 01'",b'158.1 x 73.1 x 8.8 mm (6.22 x 2.88 x 0.35 in)',b'198 g (6.98 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'OLED, HDR10'","b'6.53 inches, 108.7 cm2 (~94.1% screen-to-body ratio)'","b'1176 x 2400 pixels, 18.5:9 ratio (~409 ppi density)'","b'Android 10, EMUI 11, no Google Play Services'",b'Kirin 990E 5G (7 nm+)',b'Octa-core (2x2.86 GHz Cortex-A76 & 2x2.36 GHz Cortex-A76 & 4x1.95 GHz Cortex-A55)',b'Mali-G76 MP14',"b'NM (Nano Memory), up to 256GB (uses shared SIM slot)'","b'128GB 8GB RAM, 256GB 8GB RAM'",b'UFS 3.0',"b'40 MP, f/1.6, 27mm (wide), 1/1.7"", PDAF, OIS 8 MP, f/2.4, 80mm (telephoto), 1/4.0"", PDAF, OIS, 3x optical zoom 40 MP, f/1.8, 18mm (ultrawide), 1/1.54"", PDAF TOF 3D, (depth)'","b'Leica optics, dual-LED dual-tone flash, panorama, HDR'","b'4K@30/60fps, 1080p@30/60/120fps, 1080p@960fps, 720p@7680fps, gyro-EIS'","b'32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8\xc2\xb5m TOF 3D, (depth/biometrics sensor)'","b'HDR, panorama'",b'1080p@30fps',b'Yes',b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, DLNA, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS'",b'Yes',b'No',"b'USB Type-C 3.1, USB On-The-Go'","b'Face ID, fingerprint (under display, optical), accelerometer, gyro, proximity, barometer, compass, color spectrum'","b'Li-Po 4500 mAh, non-removable'",b'Fast charging 40W Fast wireless charging 27W Reverse wireless charging',"b'Black, Space Silver, Cosmic Purple, Emerald Green, Orange, Forest Green'",b'LIO-AN00m',b'$\xe2\x80\x89929.99',b'$\xe2\x80\x89929.99',,,,"b'Glass front, glass back, aluminum frame'",,b'32-bit/384kHz audio',b'Yes',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
